line_1,line_2,line_3
Resistor,10k,Trimmer
Resistor,10k,Trimmer
Resistor,10k,Trimmer
Resistor,10k,Trimmer
Resistor,10k,Trimmer
Resistor,10k,Trimmer
Resistor,10k,Trimmer
Resistor,10k,Trimmer
Resistor,10k,Trimmer
Resistor,10k,Trimmer
Resistor,10k,Trimmer
Resistor,10k,Trimmer
